time,open,high,low,close,tick_volume,spread,real_volume
2024-12-31 15:00:00,2611.07,2611.45,2608.67,2608.75,922.0,29,0.0
2024-12-31 15:05:00,2608.74,2609.15,2608.06,2608.7,716.0,27,0.0
2024-12-31 15:10:00,2608.65,2608.93,2607.5,2607.55,736.0,27,0.0
2024-12-31 15:15:00,2607.55,2608.12,2605.48,2605.78,788.0,27,0.0
2024-12-31 15:20:00,2605.81,2612.22,2605.24,2612.13,1027.0,27,0.0
2024-12-31 15:25:00,2612.12,2614.88,2612.12,2613.67,1033.0,27,0.0
2024-12-31 15:30:00,2613.66,2616.04,2613.09,2614.38,1664.0,27,0.0
2024-12-31 15:35:00,2614.39,2614.39,2612.7,2613.17,1159.0,27,0.0
2024-12-31 15:40:00,2613.17,2614.35,2612.13,2612.15,1197.0,33,0.0
2024-12-31 15:45:00,2612.18,2612.89,2611.34,2612.78,966.0,33,0.0
2024-12-31 15:50:00,2612.77,2613.08,2611.19,2612.1,694.0,33,0.0
2024-12-31 15:55:00,2612.09,2614.46,2612.09,2613.17,792.0,30,0.0
2024-12-31 16:00:00,2613.16,2613.18,2611.53,2611.85,860.0,35,0.0
2024-12-31 16:05:00,2611.78,2612.46,2611.22,2611.65,1044.0,39,0.0
2024-12-31 16:10:00,2611.63,2613.32,2611.42,2613.29,755.0,27,0.0
2024-12-31 16:15:00,2613.24,2614.01,2612.89,2613.16,848.0,27,0.0
2024-12-31 16:20:00,2613.17,2613.37,2611.25,2611.62,1038.0,36,0.0
2024-12-31 16:25:00,2611.64,2612.19,2611.11,2611.93,1114.0,27,0.0
2024-12-31 16:30:00,2611.94,2615.09,2611.58,2614.42,1372.0,27,0.0
2024-12-31 16:35:00,2614.36,2617.79,2613.8,2616.48,1697.0,27,0.0
2024-12-31 16:40:00,2616.5,2616.59,2613.96,2614.23,1525.0,36,0.0
2024-12-31 16:45:00,2614.35,2614.96,2613.31,2613.53,1524.0,31,0.0
2024-12-31 16:50:00,2613.56,2613.72,2612.21,2612.76,1570.0,27,0.0
2024-12-31 16:55:00,2612.74,2614.39,2612.7,2613.52,1355.0,36,0.0
2024-12-31 17:00:00,2613.53,2615.12,2612.28,2614.81,1574.0,31,0.0
2024-12-31 17:05:00,2614.7,2615.25,2613.5,2615.22,1559.0,33,0.0
2024-12-31 17:10:00,2615.23,2618.01,2615.16,2617.92,1466.0,31,0.0
2024-12-31 17:15:00,2617.93,2619.44,2617.72,2618.69,1602.0,28,0.0
2024-12-31 17:20:00,2618.68,2619.08,2617.3,2617.55,1218.0,33,0.0
2024-12-31 17:25:00,2617.73,2618.4,2617.04,2617.98,1457.0,37,0.0
2024-12-31 17:30:00,2617.97,2622.04,2617.36,2621.67,1473.0,27,0.0
2024-12-31 17:35:00,2621.56,2623.92,2621.56,2623.66,1630.0,33,0.0
2024-12-31 17:40:00,2623.68,2624.78,2623.49,2623.54,1476.0,33,0.0
2024-12-31 17:45:00,2623.58,2624.25,2621.75,2622.76,1368.0,33,0.0
2024-12-31 17:50:00,2622.74,2625.89,2621.22,2625.55,1586.0,27,0.0
2024-12-31 17:55:00,2625.64,2626.57,2624.76,2625.56,1204.0,27,0.0
2024-12-31 18:00:00,2625.53,2626.55,2623.74,2623.89,1385.0,31,0.0
2024-12-31 18:05:00,2623.88,2623.95,2622.51,2623.13,1332.0,32,0.0
2024-12-31 18:10:00,2623.14,2625.13,2622.62,2625.03,1041.0,30,0.0
2024-12-31 18:15:00,2625.05,2625.22,2623.15,2623.16,1196.0,31,0.0
2024-12-31 18:20:00,2623.16,2624.2,2622.13,2623.42,868.0,27,0.0
2024-12-31 18:25:00,2623.44,2623.76,2622.56,2623.61,923.0,27,0.0
2024-12-31 18:30:00,2623.61,2625.89,2623.23,2625.51,641.0,27,0.0
2024-12-31 18:35:00,2625.53,2625.97,2624.82,2625.85,938.0,30,0.0
2024-12-31 18:40:00,2625.87,2626.62,2625.46,2625.95,867.0,28,0.0
2024-12-31 18:45:00,2625.95,2627.09,2624.67,2624.96,899.0,27,0.0
2024-12-31 18:50:00,2624.95,2625.88,2624.55,2625.54,881.0,28,0.0
2024-12-31 18:55:00,2625.53,2625.79,2624.93,2625.22,938.0,35,0.0
2024-12-31 19:00:00,2625.24,2625.43,2624.32,2624.62,807.0,32,0.0
2024-12-31 19:05:00,2624.61,2626.44,2624.6,2626.41,577.0,27,0.0
2024-12-31 19:10:00,2626.4,2626.95,2625.6,2626.38,591.0,27,0.0
2024-12-31 19:15:00,2626.39,2627.26,2625.98,2627.19,590.0,27,0.0
2024-12-31 19:20:00,2627.21,2627.4,2625.0,2626.09,566.0,33,0.0
2024-12-31 19:25:00,2626.1,2626.54,2625.18,2625.27,708.0,27,0.0
2024-12-31 19:30:00,2625.26,2625.28,2623.86,2623.86,617.0,27,0.0
2024-12-31 19:35:00,2623.87,2624.38,2623.26,2623.71,620.0,29,0.0
2024-12-31 19:40:00,2623.75,2624.68,2623.03,2623.15,656.0,30,0.0
2024-12-31 19:45:00,2623.16,2624.23,2623.13,2624.0,697.0,30,0.0
2024-12-31 19:50:00,2624.04,2625.01,2623.91,2624.82,726.0,27,0.0
2024-12-31 19:55:00,2624.85,2625.17,2623.91,2624.06,1017.0,27,0.0
2024-12-31 20:00:00,2624.1,2624.27,2623.14,2623.23,279.0,32,0.0
2025-01-02 08:00:00,2634.02,2634.02,2631.73,2632.4,947.0,27,0.0
2025-01-02 08:05:00,2632.41,2632.71,2631.65,2632.31,920.0,36,0.0
2025-01-02 08:10:00,2632.35,2632.8,2631.36,2631.65,555.0,33,0.0
2025-01-02 08:15:00,2631.64,2632.16,2631.13,2632.07,781.0,36,0.0
2025-01-02 08:20:00,2631.99,2633.05,2631.93,2632.88,540.0,27,0.0
2025-01-02 08:25:00,2632.9,2634.35,2632.88,2634.11,471.0,27,0.0
2025-01-02 08:30:00,2634.12,2634.38,2633.6,2633.65,464.0,33,0.0
2025-01-02 08:35:00,2633.67,2633.86,2633.22,2633.8,684.0,34,0.0
2025-01-02 08:40:00,2633.82,2634.56,2633.68,2634.0,899.0,28,0.0
2025-01-02 08:45:00,2634.01,2635.29,2633.57,2633.62,805.0,29,0.0
2025-01-02 08:50:00,2633.6,2634.46,2633.53,2633.96,593.0,36,0.0
2025-01-02 08:55:00,2633.91,2634.62,2633.73,2634.04,745.0,34,0.0
2025-01-02 09:00:00,2634.03,2634.18,2633.43,2634.14,860.0,30,0.0
2025-01-02 09:05:00,2634.19,2634.96,2634.01,2634.23,829.0,27,0.0
2025-01-02 09:10:00,2634.21,2634.79,2634.02,2634.2,444.0,31,0.0
2025-01-02 09:15:00,2634.19,2634.8,2633.45,2634.71,620.0,27,0.0
2025-01-02 09:20:00,2634.75,2635.38,2634.25,2635.38,657.0,27,0.0
2025-01-02 09:25:00,2635.38,2635.84,2634.18,2634.22,514.0,27,0.0
2025-01-02 09:30:00,2634.26,2634.26,2632.93,2633.17,707.0,32,0.0
2025-01-02 09:35:00,2633.15,2634.06,2632.93,2633.44,657.0,33,0.0
2025-01-02 09:40:00,2633.43,2633.86,2632.99,2633.46,320.0,34,0.0
2025-01-02 09:45:00,2633.48,2633.57,2632.86,2633.4,629.0,28,0.0
2025-01-02 09:50:00,2633.39,2634.64,2633.19,2634.5,478.0,27,0.0
2025-01-02 09:55:00,2634.54,2635.89,2634.24,2635.89,792.0,32,0.0
2025-01-02 10:00:00,2635.91,2636.34,2634.98,2635.76,1143.0,29,0.0
2025-01-02 10:05:00,2635.77,2636.95,2635.12,2635.15,923.0,33,0.0
2025-01-02 10:10:00,2635.13,2635.4,2633.82,2634.97,572.0,27,0.0
2025-01-02 10:15:00,2634.97,2634.98,2633.53,2634.44,763.0,27,0.0
2025-01-02 10:20:00,2634.43,2634.54,2632.55,2632.61,895.0,32,0.0
2025-01-02 10:25:00,2632.63,2633.13,2631.19,2633.1,739.0,27,0.0
2025-01-02 10:30:00,2633.17,2633.77,2630.98,2633.65,534.0,27,0.0
2025-01-02 10:35:00,2633.68,2634.17,2633.28,2633.98,389.0,27,0.0
2025-01-02 10:40:00,2633.98,2636.87,2633.57,2636.18,536.0,27,0.0
2025-01-02 10:45:00,2636.18,2637.67,2635.58,2635.81,683.0,27,0.0
2025-01-02 10:50:00,2635.82,2636.53,2635.25,2635.62,511.0,27,0.0
2025-01-02 10:55:00,2635.66,2636.96,2635.48,2636.37,554.0,27,0.0
2025-01-02 11:00:00,2636.36,2639.77,2636.36,2638.34,1107.0,27,0.0
2025-01-02 11:05:00,2638.34,2639.36,2637.96,2638.16,544.0,32,0.0
2025-01-02 11:10:00,2638.16,2639.01,2637.16,2638.14,416.0,27,0.0
2025-01-02 11:15:00,2638.15,2638.49,2637.63,2638.08,397.0,27,0.0
2025-01-02 11:20:00,2638.06,2638.27,2637.11,2637.34,701.0,27,0.0
2025-01-02 11:25:00,2637.33,2639.79,2637.23,2637.39,625.0,28,0.0
2025-01-02 11:30:00,2637.39,2638.29,2637.11,2637.8,620.0,27,0.0
2025-01-02 11:35:00,2637.8,2637.8,2636.58,2636.78,500.0,34,0.0
2025-01-02 11:40:00,2636.78,2637.6,2636.65,2637.03,690.0,35,0.0
2025-01-02 11:45:00,2637.05,2637.88,2636.5,2637.33,637.0,27,0.0
2025-01-02 11:50:00,2637.25,2637.56,2636.27,2636.74,681.0,35,0.0
2025-01-02 11:55:00,2636.71,2637.29,2635.87,2635.96,668.0,27,0.0
2025-01-02 12:00:00,2635.93,2636.02,2633.5,2633.59,783.0,27,0.0
2025-01-02 12:05:00,2633.57,2635.44,2632.62,2635.32,716.0,27,0.0
2025-01-02 12:10:00,2635.34,2638.84,2635.26,2638.77,907.0,27,0.0
2025-01-02 12:15:00,2638.76,2643.67,2637.94,2643.18,942.0,27,0.0
2025-01-02 12:20:00,2643.15,2646.19,2642.68,2645.29,1287.0,27,0.0
2025-01-02 12:25:00,2645.31,2646.02,2644.3,2644.68,936.0,27,0.0
2025-01-02 12:30:00,2644.67,2645.42,2643.06,2643.77,999.0,29,0.0
2025-01-02 12:35:00,2643.79,2645.53,2642.99,2644.44,901.0,27,0.0
2025-01-02 12:40:00,2644.43,2645.29,2643.64,2643.93,803.0,27,0.0
2025-01-02 12:45:00,2643.91,2644.05,2642.14,2642.86,777.0,27,0.0
2025-01-02 12:50:00,2642.9,2643.58,2640.4,2642.58,1197.0,27,0.0
2025-01-02 12:55:00,2642.55,2642.85,2641.68,2642.59,766.0,27,0.0
2025-01-02 13:00:00,2642.6,2643.44,2642.29,2643.01,368.0,27,0.0
2025-01-02 13:05:00,2643.02,2644.23,2643.02,2643.98,781.0,28,0.0
2025-01-02 13:10:00,2644.04,2644.47,2643.58,2644.03,797.0,27,0.0
2025-01-02 13:15:00,2644.04,2644.29,2642.82,2643.01,915.0,27,0.0
2025-01-02 13:20:00,2643.02,2643.64,2641.76,2642.07,789.0,27,0.0
2025-01-02 13:25:00,2642.06,2642.06,2640.43,2641.69,749.0,27,0.0
2025-01-02 13:30:00,2641.73,2641.99,2640.14,2640.75,447.0,27,0.0
2025-01-02 13:35:00,2640.73,2641.66,2640.34,2641.6,558.0,27,0.0
2025-01-02 13:40:00,2641.62,2642.65,2640.82,2641.95,716.0,27,0.0
2025-01-02 13:45:00,2641.99,2642.46,2641.0,2641.95,555.0,27,0.0
2025-01-02 13:50:00,2642.03,2642.08,2641.13,2641.77,561.0,27,0.0
2025-01-02 13:55:00,2641.81,2642.24,2641.6,2641.87,639.0,27,0.0
2025-01-02 14:00:00,2641.93,2642.79,2640.89,2641.11,838.0,27,0.0
2025-01-02 14:05:00,2641.12,2641.26,2640.29,2640.57,742.0,27,0.0
2025-01-02 14:10:00,2640.59,2641.35,2640.23,2640.87,699.0,33,0.0
2025-01-02 14:15:00,2640.87,2641.55,2640.39,2641.24,708.0,30,0.0
2025-01-02 14:20:00,2641.32,2642.0,2640.91,2641.99,660.0,27,0.0
2025-01-02 14:25:00,2642.25,2643.14,2641.52,2642.69,809.0,27,0.0
2025-01-02 14:30:00,2642.69,2645.12,2642.11,2643.79,1166.0,28,0.0
2025-01-02 14:35:00,2643.8,2645.08,2643.31,2644.27,734.0,27,0.0
2025-01-02 14:40:00,2644.29,2644.36,2643.0,2644.11,831.0,30,0.0
2025-01-02 14:45:00,2644.12,2646.39,2644.08,2645.64,1069.0,27,0.0
2025-01-02 14:50:00,2645.6,2645.62,2644.22,2645.21,903.0,27,0.0
2025-01-02 14:55:00,2645.17,2645.17,2642.73,2643.27,1037.0,27,0.0
2025-01-02 15:00:00,2643.22,2643.24,2640.64,2641.74,1734.0,27,0.0
2025-01-02 15:05:00,2641.72,2643.19,2641.31,2641.79,1293.0,27,0.0
2025-01-02 15:10:00,2641.77,2642.39,2638.24,2638.49,1606.0,27,0.0
2025-01-02 15:15:00,2638.49,2639.29,2636.49,2637.54,1063.0,27,0.0
2025-01-02 15:20:00,2637.53,2639.26,2635.9,2637.56,1616.0,27,0.0
2025-01-02 15:25:00,2637.44,2640.92,2636.64,2640.49,939.0,30,0.0
2025-01-02 15:30:00,2640.31,2640.82,2636.87,2640.05,1620.0,27,0.0
2025-01-02 15:35:00,2640.08,2640.94,2638.99,2639.02,1948.0,27,0.0
2025-01-02 15:40:00,2638.96,2640.11,2638.47,2639.14,1400.0,27,0.0
2025-01-02 15:45:00,2639.08,2642.88,2638.12,2642.43,1462.0,27,0.0
2025-01-02 15:50:00,2642.44,2645.42,2642.44,2645.22,1760.0,27,0.0
2025-01-02 15:55:00,2645.22,2647.16,2642.81,2642.94,1699.0,27,0.0
2025-01-02 16:00:00,2642.9,2644.82,2640.24,2641.46,1936.0,27,0.0
2025-01-02 16:05:00,2641.45,2642.19,2640.38,2641.45,1338.0,27,0.0
2025-01-02 16:10:00,2641.41,2646.78,2641.29,2646.74,1730.0,27,0.0
2025-01-02 16:15:00,2646.77,2648.97,2646.27,2646.88,1793.0,27,0.0
2025-01-02 16:20:00,2646.99,2647.96,2646.18,2646.4,1397.0,27,0.0
2025-01-02 16:25:00,2646.37,2647.52,2646.05,2646.2,1263.0,27,0.0
2025-01-02 16:30:00,2646.16,2650.01,2646.16,2648.56,2138.0,27,0.0
2025-01-02 16:35:00,2648.56,2649.56,2646.42,2648.04,1991.0,27,0.0
2025-01-02 16:40:00,2648.19,2649.59,2647.48,2649.06,1269.0,27,0.0
2025-01-02 16:45:00,2649.06,2650.91,2647.92,2648.29,1545.0,27,0.0
2025-01-02 16:50:00,2648.29,2649.14,2646.85,2648.92,1531.0,27,0.0
2025-01-02 16:55:00,2648.91,2649.24,2646.89,2647.56,1216.0,27,0.0
