time,open,high,low,close,tick_volume,spread,real_volume
2025-08-18 09:57:00,147.368,147.38,147.357,147.38,66.0,20,0.0
2025-11-27 15:00:00,156.366,156.371,156.342,156.343,127.0,22,0.0
2025-11-27 15:01:00,156.344,156.359,156.344,156.344,102.0,22,0.0
2025-11-27 15:02:00,156.345,156.355,156.339,156.343,41.0,21,0.0
2025-11-27 15:03:00,156.342,156.344,156.333,156.333,36.0,21,0.0
2025-11-27 15:04:00,156.332,156.333,156.314,156.315,68.0,22,0.0
2025-11-27 15:05:00,156.315,156.334,156.314,156.333,86.0,21,0.0
2025-11-27 15:06:00,156.333,156.333,156.316,156.318,33.0,21,0.0
2025-11-27 15:07:00,156.317,156.326,156.317,156.32,39.0,22,0.0
2025-11-27 15:08:00,156.321,156.324,156.315,156.318,30.0,21,0.0
2025-11-27 15:09:00,156.319,156.321,156.306,156.309,40.0,21,0.0
2025-11-27 15:10:00,156.31,156.31,156.306,156.308,24.0,22,0.0
2025-11-27 15:11:00,156.309,156.309,156.307,156.307,5.0,24,0.0
2025-11-27 15:12:00,156.306,156.312,156.306,156.31,16.0,23,0.0
2025-11-27 15:13:00,156.314,156.323,156.309,156.314,48.0,22,0.0
2025-11-27 15:14:00,156.314,156.318,156.296,156.298,22.0,22,0.0
2025-11-27 15:15:00,156.297,156.302,156.288,156.297,34.0,22,0.0
2025-11-27 15:16:00,156.296,156.298,156.279,156.279,31.0,23,0.0
2025-11-27 15:17:00,156.28,156.286,156.278,156.279,23.0,22,0.0
2025-11-27 15:18:00,156.279,156.285,156.277,156.285,11.0,22,0.0
2025-11-27 15:19:00,156.285,156.285,156.278,156.28,10.0,23,0.0
2025-11-27 15:20:00,156.279,156.299,156.279,156.296,23.0,23,0.0
2025-11-27 15:21:00,156.296,156.309,156.296,156.304,19.0,21,0.0
2025-11-27 15:22:00,156.305,156.31,156.304,156.309,27.0,23,0.0
2025-11-27 15:23:00,156.308,156.309,156.304,156.308,24.0,24,0.0
2025-11-27 15:24:00,156.307,156.307,156.293,156.295,18.0,23,0.0
2025-11-27 15:25:00,156.296,156.297,156.293,156.293,23.0,22,0.0
2025-11-27 15:26:00,156.287,156.287,156.265,156.284,57.0,21,0.0
2025-11-27 15:27:00,156.283,156.294,156.282,156.284,21.0,21,0.0
2025-11-27 15:28:00,156.284,156.289,156.281,156.284,18.0,21,0.0
2025-11-27 15:29:00,156.284,156.289,156.254,156.258,59.0,22,0.0
2025-11-27 15:30:00,156.26,156.293,156.259,156.272,105.0,21,0.0
2025-11-27 15:31:00,156.272,156.28,156.256,156.274,91.0,21,0.0
2025-11-27 15:32:00,156.273,156.275,156.259,156.267,48.0,22,0.0
2025-11-27 15:33:00,156.268,156.281,156.268,156.272,62.0,21,0.0
2025-11-27 15:34:00,156.273,156.273,156.258,156.27,29.0,23,0.0
2025-11-27 15:35:00,156.269,156.282,156.269,156.282,21.0,22,0.0
2025-11-27 15:36:00,156.281,156.284,156.277,156.282,26.0,21,0.0
2025-11-27 15:37:00,156.282,156.298,156.279,156.294,23.0,22,0.0
2025-11-27 15:38:00,156.294,156.305,156.292,156.296,37.0,21,0.0
2025-11-27 15:39:00,156.297,156.297,156.282,156.284,33.0,23,0.0
2025-11-27 15:40:00,156.285,156.297,156.285,156.289,21.0,21,0.0
2025-11-27 15:41:00,156.29,156.312,156.29,156.308,48.0,21,0.0
2025-11-27 15:42:00,156.307,156.311,156.299,156.308,31.0,21,0.0
2025-11-27 15:43:00,156.307,156.322,156.306,156.309,50.0,21,0.0
2025-11-27 15:44:00,156.309,156.321,156.307,156.32,16.0,21,0.0
2025-11-27 15:45:00,156.319,156.321,156.302,156.307,36.0,21,0.0
2025-11-27 15:46:00,156.307,156.31,156.304,156.306,37.0,23,0.0
2025-11-27 15:47:00,156.305,156.307,156.299,156.305,38.0,22,0.0
2025-11-27 15:48:00,156.306,156.321,156.305,156.32,34.0,21,0.0
2025-11-27 15:49:00,156.321,156.321,156.299,156.3,53.0,21,0.0
2025-11-27 15:50:00,156.299,156.307,156.299,156.304,23.0,22,0.0
2025-11-27 15:51:00,156.303,156.304,156.283,156.294,39.0,21,0.0
2025-11-27 15:52:00,156.293,156.293,156.281,156.281,47.0,22,0.0
2025-11-27 15:53:00,156.277,156.277,156.256,156.265,73.0,22,0.0
2025-11-27 15:54:00,156.264,156.271,156.259,156.259,50.0,21,0.0
2025-11-27 15:55:00,156.255,156.256,156.234,156.244,118.0,22,0.0
2025-11-27 15:56:00,156.249,156.259,156.247,156.256,75.0,22,0.0
2025-11-27 15:57:00,156.255,156.263,156.254,156.261,34.0,21,0.0
2025-11-27 15:58:00,156.26,156.265,156.241,156.245,49.0,22,0.0
2025-11-27 15:59:00,156.245,156.256,156.245,156.254,34.0,22,0.0
2025-11-27 16:00:00,156.253,156.263,156.253,156.259,27.0,23,0.0
2025-11-27 16:01:00,156.258,156.258,156.233,156.237,45.0,22,0.0
2025-11-27 16:02:00,156.236,156.239,156.222,156.239,43.0,22,0.0
2025-11-27 16:03:00,156.238,156.251,156.237,156.244,27.0,21,0.0
2025-11-27 16:04:00,156.244,156.273,156.243,156.27,35.0,21,0.0
2025-11-27 16:05:00,156.272,156.272,156.267,156.27,29.0,23,0.0
2025-11-27 16:06:00,156.269,156.269,156.243,156.254,114.0,21,0.0
2025-11-27 16:07:00,156.255,156.27,156.254,156.265,48.0,21,0.0
2025-11-27 16:08:00,156.265,156.271,156.265,156.269,51.0,22,0.0
2025-11-27 16:09:00,156.269,156.28,156.265,156.273,46.0,23,0.0
2025-11-27 16:10:00,156.273,156.279,156.265,156.279,20.0,22,0.0
2025-11-27 16:11:00,156.279,156.292,156.279,156.286,51.0,23,0.0
2025-11-27 16:12:00,156.286,156.286,156.272,156.28,51.0,21,0.0
2025-11-27 16:13:00,156.279,156.281,156.27,156.273,59.0,22,0.0
2025-11-27 16:14:00,156.274,156.278,156.268,156.268,28.0,23,0.0
2025-11-27 16:15:00,156.268,156.271,156.264,156.265,73.0,22,0.0
2025-11-27 16:16:00,156.267,156.279,156.264,156.274,90.0,22,0.0
2025-11-27 16:17:00,156.273,156.281,156.269,156.273,66.0,21,0.0
2025-11-27 16:18:00,156.274,156.279,156.268,156.278,82.0,23,0.0
2025-11-27 16:19:00,156.278,156.281,156.278,156.28,33.0,23,0.0
2025-11-27 16:20:00,156.279,156.288,156.278,156.283,80.0,22,0.0
2025-11-27 16:21:00,156.282,156.285,156.279,156.284,67.0,23,0.0
2025-11-27 16:22:00,156.283,156.287,156.279,156.28,28.0,23,0.0
2025-11-27 16:23:00,156.281,156.286,156.28,156.285,31.0,21,0.0
2025-11-27 16:24:00,156.286,156.295,156.285,156.293,36.0,21,0.0
2025-11-27 16:25:00,156.294,156.317,156.29,156.306,60.0,21,0.0
2025-11-27 16:26:00,156.306,156.32,156.305,156.319,36.0,22,0.0
2025-11-27 16:27:00,156.319,156.327,156.316,156.321,47.0,22,0.0
2025-11-27 16:28:00,156.322,156.332,156.319,156.329,52.0,23,0.0
2025-11-27 16:29:00,156.33,156.333,156.324,156.325,26.0,23,0.0
2025-11-27 16:30:00,156.325,156.337,156.325,156.328,59.0,22,0.0
2025-11-27 16:31:00,156.328,156.345,156.326,156.336,67.0,22,0.0
2025-11-27 16:32:00,156.337,156.351,156.333,156.339,70.0,23,0.0
2025-11-27 16:33:00,156.339,156.343,156.335,156.341,42.0,23,0.0
2025-11-27 16:34:00,156.34,156.344,156.329,156.33,39.0,24,0.0
2025-11-27 16:35:00,156.329,156.342,156.325,156.332,49.0,21,0.0
2025-11-27 16:36:00,156.332,156.343,156.332,156.332,12.0,21,0.0
2025-11-27 16:37:00,156.331,156.338,156.328,156.332,28.0,23,0.0
2025-11-27 16:38:00,156.33,156.336,156.33,156.332,23.0,23,0.0
2025-11-27 16:39:00,156.333,156.344,156.332,156.343,25.0,23,0.0
2025-11-27 16:40:00,156.344,156.351,156.34,156.34,69.0,22,0.0
2025-11-27 16:41:00,156.338,156.34,156.329,156.332,24.0,21,0.0
2025-11-27 16:42:00,156.333,156.344,156.33,156.341,34.0,21,0.0
2025-11-27 16:43:00,156.341,156.344,156.328,156.329,28.0,22,0.0
2025-11-27 16:44:00,156.329,156.334,156.329,156.331,14.0,24,0.0
2025-11-27 16:45:00,156.33,156.33,156.316,156.329,21.0,22,0.0
